Company,Opening_Date,Listing_Date,Listing_At,BSE_Scrip_Code,NSE_Symbol,Issue_Amount_(Rs.cr.),Issue_Price_(Rs.),QIB_(x),NII_(x),Retail_(x),Total_(x),Open_Price_on_Listing_(Rs.),Close_Price_on_Listing_(Rs.),%_Gain_/_Loss_(Issue_price_v/s_Close_price_on_Listing),Current_Price_<br>at_BSE_(Rs.),Current_Price_<br>at_NSE_(Rs.),Gain_/_Loss_(%),Market_Price_(Rs.),52_Week_High,52_Week_Low,Market_Price_(Value),Market_Price_(%),52_Week_High_(Value),52_Week_High_(Date),52_Week_Low_(Value),52_Week_Low_(Date),Assets_(Rs.cr.),Revenue_(Rs.cr.),Profit_After_Tax_(Rs.cr.),P/E_(x)_Pre-IPO,P/E_(x)_Post-IPO,ROE,ROCE,RoNW,Net_Worth_(Rs.cr.),Reserves_and_Surplus_(Rs.cr.),Total_Borrowing_(Rs.cr.),PAT_Margin_%,EPS_(Rs.)_Pre-IPO,EPS_(Rs.)_Post-IPO,Price_to_Book_Value,Ebitda_(Rs.cr.)
Awfis Space Solutions IPO,2024-05-22,2024-05-30,"BSE, NSE",544181,AWFIS,598.93,383,47.18,130.09,53.74,60.05,421,402.95,5.21,324.1,323.95,-15.38,323.95 (-15.38%),"718.95 (Jun 06, 2025)","356.40 (Feb 06, 2026)",323.95,-15.38,718.95,"Jun 06, 2025",356.4,"Feb 06, 2026","1,352.25",633.69,-18.94,,,,37.43%,-7.66%,247.19,-265.56,23.72,-2.99,,,9.63,
Kronox Lab Sciences IPO,2024-06-03,2024-06-10,"BSE, NSE",544187,KRONOX,130.15,136,35.53,304.26,54.9,82.62,151.35,151.35,11.29,122.2,122.36,-10.15,122.36 (-10.15%),"207.49 (Jul 07, 2025)","118.00 (Jan 21, 2026)",122.36,-10.15,207.49,"Jul 07, 2025",118,"Jan 21, 2026",66.96,68.44,15.47,30.37,24.47,25.66%,33.15%,25.66%,60.28,15.56,,22.6,4.48,5.56,8.37,
Le Travenues Technology IPO,2024-06-10,2024-06-18,"BSE, NSE",544192,IXIGO,740.1,93,43.1,110.89,54.44,54.4,138.1,165.72,78.19,196.2,196.8,110.97,196.80 (110.97%),"339.15 (Oct 16, 2025)","117.00 (Mar 04, 2025)",196.8,110.97,339.15,"Oct 16, 2025",117,"Mar 04, 2025",678.71,497.1,65.71,148.87,41.12,,,15.26%,437.13,399.83,43.36,,0.62,2.26,8.14,
Akme Fintrade IPO,2024-06-19,2024-06-26,"BSE, NSE",544200,AFIL,132,120,11.68,130.98,45.75,39.44,127,133.35,11.12,4.95,4.98,-58.75,4.98 (-58.75%),"10.16 (Apr 17, 2025)","3.92 (Feb 02, 2026)",4.98,-58.75,10.16,"Apr 17, 2025",3.92,"Feb 02, 2026",417.96,53.45,12.25,,,5.64%,,5.81%,217.01,185.34,195.19,22.93,3.87,,,
DEE Development Engineers IPO,2024-06-19,2024-06-26,"BSE, NSE",544198,DEEDEV,418.01,203,83.87,147.1,24.89,72.53,339,335.32,65.18,205,205.53,0.99,205.53 (0.99%),"336.20 (Jul 02, 2025)","167.00 (Feb 18, 2025)",205.53,0.99,336.2,"Jul 02, 2025",167,"Feb 18, 2025","1,171.01",557.86,14.34,83,73.33,,3.91%,3.35%,428.19,380.23,407.14,2.63,2.45,2.77,2.46,
Stanley Lifestyles IPO,2024-06-21,2024-06-28,"BSE, NSE",544202,STANLEY,537.02,369,86.67,121.66,19.27,68.33,494.95,474.75,28.66,168.2,168.21,-54.42,168.21 (-54.42%),"377.50 (Jun 09, 2025)","167.00 (Feb 13, 2026)",168.21,-54.42,377.5,"Jun 09, 2025",167,"Feb 13, 2026",581.54,322.29,18.7,54.43,84.4,7.92%,8.63%,8.34%,237.21,225.83,30.9,5.97,6.78,4.37,8.03,
Allied Blenders IPO,2024-06-25,2024-07-02,"BSE, NSE",544203,ABDL,"1,500.00",281,21.76,34.06,4.73,17.61,320,317.9,13.13,529.3,529.15,88.36,529.15 (88.36%),"696.80 (Nov 04, 2025)","279.00 (Apr 07, 2025)",529.15,88.36,696.8,"Nov 04, 2025",279,"Apr 07, 2025","2,741.39","5,914.98",4.23,"4,284.57","1,393.87",1.03%,24.35%,1.03%,409.26,360.43,798.11,0.05,0.07,0.2,16.77,
Vraj Iron IPO,2024-06-26,2024-07-03,"BSE, NSE",544204,VRAJ,171,207,69.92,221.52,57.55,88.33,240,252,21.74,128.05,128.57,-38.14,128.57 (-38.14%),"194.19 (May 15, 2025)","119.00 (Jan 27, 2026)",128.57,-38.14,194.19,"May 15, 2025",119,"Jan 27, 2026",253.05,304.81,44.58,9.48,11.49,23.78%,25.34%,23.78%,187.5,162.78,49.3,3.61,21.84,18.02,2.73,
Bansal Wire Industries IPO,2024-07-03,2024-07-10,"BSE, NSE",544209,BANSALWIRE,745,256,62.01,54.16,14.16,44.08,356,350.35,36.86,276,275.7,7.81,275.70 (7.81%),"434.30 (Jul 22, 2025)","252.30 (Jan 27, 2026)",275.7,7.81,434.3,"Jul 22, 2025",252.3,"Jan 27, 2026","1,264.01","2,470.89",78.8,41.41,50.86,21.19%,18.46%,18.27%,422.37,358.64,681.14,3.19,6.18,5.03,7.72,
Emcure Pharmaceuticals IPO,2024-07-03,2024-07-10,"BSE, NSE",544210,EMCURE,"1,952.03","1,008",76.95,49.21,7.23,48.13,"1,325.05","1,359.15",34.84,"1,488.65","1,488.70",47.68,"1,488.70 (47.68%)","1,585.60 (Jan 19, 2026)","889.00 (Apr 07, 2025)",1488.7,47.68,1585.6,"Jan 19, 2026",889,"Apr 07, 2025","7,806.16","6,715.24",527.58,34.55,36.07,16.90%,19.37%,16.87%,"2,952.28","2,722.40","2,091.94",7.86,29.17,27.95,6.18,
